Identifiant de l'emplacement;Adresse;Arrondissement;Emplacement statut;Coordonnées X en L93;Coordonnées Y en L93;Conseil de quartier;geo_shape;geo_point_2d
da-00564;35 RUE ALAIN CHARTIER;75015;ENPLACE;648366.58;6859944.48;SAINT - LAMBERT;"{""coordinates"": [2.296544492645434, 48.83748199941953], ""type"": ""Point""}";48.83748199941953, 2.296544492645434
da-00404;2 RUE DU GUIGNIER;75020;ENPLACE;655482.02;6863647.09;BELLEVILLE;"{""coordinates"": [2.3930935868145533, 48.871310240075616], ""type"": ""Point""}";48.871310240075616, 2.3930935868145533
da-00466;256B AVENUE DAUMESNIL;75012;ENPLACE;656213.88;6859779.49;BEL - AIR SUD;"{""coordinates"": [2.4034689209765445, 48.836579185404], ""type"": ""Point""}";48.836579185404, 2.4034689209765445
da-00451;33 RUE DU CHATEAU D EAU;75010;ENPLACE;652918.03;6863639.65;CHATEAU D'EAU - LANCRY;"{""coordinates"": [2.358141557244719, 48.87106099193411], ""type"": ""Point""}";48.87106099193411, 2.358141557244719
da-00748;13 AVENUE DE LA SIBELLE;75014;ENPLACE;651432.57;6858640.53;MONTSOURIS - DAREAU;"{""coordinates"": [2.338462419851891, 48.825993849490914], ""type"": ""Point""}";48.825993849490914, 2.338462419851891
da-00642;15 RUE VISCONTI;75006;ENPLACE;651245.73;6861950.85;SAINT - GERMAIN DES PRES;"{""coordinates"": [2.3355382574846657, 48.85574948774931], ""type"": ""Point""}";48.85574948774931, 2.3355382574846657
da-00775;127Z AVENUE JEAN JAURES;75019;ENPLACE;654752.67;6865310.04;BASSIN DE LA VILLETTE;"{""coordinates"": [2.3829737906910866, 48.886213922001325], ""type"": ""Point""}";48.886213922001325, 2.3829737906910866
da-00759;19 RUE DU DOCTEUR POTAIN;75019;ENPLACE;655834.99;6864244.83;PLACE DES FETES;"{""coordinates"": [2.3978433335600298, 48.87670989659955], ""type"": ""Point""}";48.87670989659955, 2.3978433335600298
da-00797;1 RUE DU PLATEAU;75019;ENPLACE;654929.26;6864393.97;PLATEAU;"{""coordinates"": [2.3854789864907566, 48.877988368111744], ""type"": ""Point""}";48.877988368111744, 2.3854789864907566
da-00836;17 RUE LOUIS BLANC;75010;ENPLACE;653669.66;6864536.23;GRANGE AUX BELLES - TERRAGE;"{""coordinates"": [2.368290160205813, 48.8791783003911], ""type"": ""Point""}";48.8791783003911, 2.368290160205813
da-00834;32 RUE DE L AQUEDUC;75010;ENPLACE;653277.93;6864835.18;LOUIS BLANC - AQUEDUC;"{""coordinates"": [2.3629162203671132, 48.881838378503716], ""type"": ""Point""}";48.881838378503716, 2.3629162203671132
da-00545;49 RUE DE BRETAGNE;75003;ENPLACE;653144.13;6862794.38;ENFANTS ROUGES;"{""coordinates"": [2.361316914900696, 48.86347614802209], ""type"": ""Point""}";48.86347614802209, 2.361316914900696
da-00498;29 BOULEVARD BRUNE;75014;ENPLACE;649185.15;6858805.54;DIDOT - PORTE DE VANVES;"{""coordinates"": [2.3078320879658807, 48.82730454108473], ""type"": ""Point""}";48.82730454108473, 2.3078320879658807
da-00568;24 RUE NEUVE TOLBIAC;75013;ENPLACE;654333.71;6859216.37;BIBLIOTHEQUE - SEINE;"{""coordinates"": [2.377915482704443, 48.83138449043843], ""type"": ""Point""}";48.83138449043843, 2.377915482704443
da-00571;2 PLACE DE LA PORTE MOLITOR;75016;ENPLACE;645497.16;6860860.1;AUTEUIL SUD;"{""coordinates"": [2.2573363389018697, 48.84547982654653], ""type"": ""Point""}";48.84547982654653, 2.2573363389018697
da-00583;4 PLACE MARCEL AYME;75018;ENPLACE;651430.88;6865493.86;MONTMARTRE;"{""coordinates"": [2.337656437887268, 48.88762496848961], ""type"": ""Point""}";48.88762496848961, 2.337656437887268
da-00383;1 AVENUE DE LA PORTE DE MONTREUIL;75020;ENPLACE;656775.64;6861680.94;SAINT BLAISE;"{""coordinates"": [2.410928617789864, 48.853716972842015], ""type"": ""Point""}";48.853716972842015, 2.410928617789864
da-00425;28 AVENUE DE SAXE;75007;ENPLACE;649264.62;6861227.37;ECOLE MILITAIRE;"{""coordinates"": [2.3086258017022714, 48.84909039069789], ""type"": ""Point""}";48.84909039069789, 2.3086258017022714
da-00423;8 RUE FRANCOIS MIRON;75004;ENPLACE;652677.68;6861966.96;SAINT - GERVAIS;"{""coordinates"": [2.3550512809054935, 48.856001180622236], ""type"": ""Point""}";48.856001180622236, 2.3550512809054935
DA-00194;1 BOULEVARD SAINT MARCEL;75013;ENPLACE;653122.29;6860132.48;SALPETRIERE - AUSTERLITZ;"{""coordinates"": [2.361312762742765, 48.839536158837575], ""type"": ""Point""}";48.839536158837575, 2.361312762742765
da-00774;16 AVENUE SIMON BOLIVAR;75019;ENPLACE;654824.12;6863978.75;PLATEAU;"{""coordinates"": [2.3840897090102104, 48.874246953076515], ""type"": ""Point""}";48.874246953076515, 2.3840897090102104
da-00606;10 PLACE JULES SENARD;75019;ENPLACE;656502.23;6864398.62;PORTE DES LILAS;"{""coordinates"": [2.406924489814913, 48.8781383647131], ""type"": ""Point""}";48.8781383647131, 2.406924489814913
da-00750;111 BOULEVARD DE MAGENTA;75010;ENPLACE;652553.9;6864571.32;SAINT - VINCENT DE PAUL - LARIBOISIERE;"{""coordinates"": [2.3530735663974114, 48.87941259369395], ""type"": ""Point""}";48.87941259369395, 2.3530735663974114
da-00809;13 RUE YVONNE LE TAC;75018;ENPLACE;651614.16;6865102.28;MONTMARTRE;"{""coordinates"": [2.3402003911972074, 48.88411744768968], ""type"": ""Point""}";48.88411744768968, 2.3402003911972074
da-00844;2 RUE TCHAIKOVSKI;75018;ENPLACE;653419.65;6866174.86;CHARLES HERMITE - EVANGILE;"{""coordinates"": [2.364701635832087, 48.89389591001246], ""type"": ""Point""}";48.89389591001246, 2.364701635832087
da-00483;77 RUE CROZATIER;75012;ENPLACE;654436.04;6861283.82;ALIGRE - GARE DE LYON;"{""coordinates"": [2.3790878825478816, 48.84998450063232], ""type"": ""Point""}";48.84998450063232, 2.3790878825478816
da-00643;28 RUE DE CHERBOURG;75015;ENPLACE;648878.48;6859198.08;GEORGES BRASSENS;"{""coordinates"": [2.303607968208628, 48.830810422513025], ""type"": ""Point""}";48.830810422513025, 2.303607968208628
da-00458;129 BOULEVARD RICHARD LENOIR;75011;ENPLACE;653719.36;6863087.55;REPUBLIQUE - SAINT-AMBROISE;"{""coordinates"": [2.369125483044403, 48.866154182073664], ""type"": ""Point""}";48.866154182073664, 2.369125483044403
da-00562;3 RUE DE LA JUSSIENNE;75002;ENPLACE;651885.28;6863006.21;MONTORGUEIL - SAINT-DENIS;"{""coordinates"": [2.344134635701432, 48.86528832484456], ""type"": ""Point""}";48.86528832484456, 2.344134635701432
da-00655;15 RUE SAINT LAMBERT;75015;ENPLACE;647985.1;6860001.47;VAUGIRARD - PARC DES EXPOSITIONS;"{""coordinates"": [2.2913405139047067, 48.83796383583216], ""type"": ""Point""}";48.83796383583216, 2.2913405139047067
da-00499;77 BOULEVARD BRUNE;75014;ENPLACE;649516.43;6858694.22;DIDOT - PORTE DE VANVES;"{""coordinates"": [2.312357554014522, 48.82632944031542], ""type"": ""Point""}";48.82632944031542, 2.312357554014522
DA-00214;11 AVENUE TRUDAINE;75009;ENPLACE;651986.08;6864822.06;ANVERS - MONTHOLON;"{""coordinates"": [2.3453034199733214, 48.88162534180979], ""type"": ""Point""}";48.88162534180979, 2.3453034199733214
da-00572;209 RUE ORDENER;75018;ENPLACE;651068.32;6866215.04;GRANDES CARRIERES - CLICHY;"{""coordinates"": [2.332629266840991, 48.89408281615021], ""type"": ""Point""}";48.89408281615021, 2.332629266840991
da-00326;19V AVENUE TRUDAINE;75009;ENPLACE;651901.5;6864816.52;ANVERS - MONTHOLON;"{""coordinates"": [2.344150719545893, 48.88156915941414], ""type"": ""Point""}";48.88156915941414, 2.344150719545893
DA-00133;1 RUE BOUTIN;75013;ENPLACE;651722.98;6858889.66;BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT;"{""coordinates"": [2.3423896396045514, 48.82825611739725], ""type"": ""Point""}";48.82825611739725, 2.3423896396045514
da-00437;74T BOULEVARD DE PORT ROYAL;75005;ENPLACE;651725.77;6860017.14;VAL DE GRACE;"{""coordinates"": [2.342299696502634, 48.83839581712313], ""type"": ""Point""}";48.83839581712313, 2.342299696502634
da-00588;22TZ RUE PAJOL;75018;ENPLACE;653300.57;6865712.0;LA CHAPELLE - MARX DORMOY;"{""coordinates"": [2.3631284837898563, 48.88972490781065], ""type"": ""Point""}";48.88972490781065, 2.3631284837898563
da-00456;35 RUE ALIBERT;75010;ENPLACE;653748.92;6863752.15;FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS;"{""coordinates"": [2.3694561381786583, 48.87213291886288], ""type"": ""Point""}";48.87213291886288, 2.3694561381786583
da-00471;80TV COURS DE VINCENNES;75012;ENPLACE;656416.92;6860971.65;BEL - AIR NORD;"{""coordinates"": [2.406112777897554, 48.84731416847562], ""type"": ""Point""}";48.84731416847562, 2.406112777897554
da-00487;96 BOULEVARD VINCENT AURIOL;75013;ENPLACE;653289.66;6859456.53;SALPETRIERE - AUSTERLITZ;"{""coordinates"": [2.363667257834427, 48.8334695221321], ""type"": ""Point""}";48.8334695221321, 2.363667257834427
DA-00221;53B RUE D AUTEUIL;75016;ENPLACE;646009.67;6861122.91;AUTEUIL SUD;"{""coordinates"": [2.264286029961864, 48.8478864442946], ""type"": ""Point""}";48.8478864442946, 2.264286029961864
da-00722;6 RUE DE LA CHINE;75020;ENPLACE;655968.88;6863128.15;GAMBETTA;"{""coordinates"": [2.399784507848722, 48.86667694631668], ""type"": ""Point""}";48.86667694631668, 2.399784507848722
da-00287;141V BOULEVARD DE MENILMONTANT;75011;ENPLACE;654735.76;6863160.98;BELLEVILLE - SAINT-MAUR;"{""coordinates"": [2.3829721737689793, 48.86688670747691], ""type"": ""Point""}";48.86688670747691, 2.3829721737689793
da-00788;34 RUE LAMARCK;75018;ENPLACE;651893.19;6865630.34;MONTMARTRE;"{""coordinates"": [2.3439452656119983, 48.888886941082795], ""type"": ""Point""}";48.888886941082795, 2.3439452656119983
DA-00231;5X BOULEVARD RICHARD LENOIR;75011;ENPLACE;653773.29;6861878.51;BASTILLE - POPINCOURT;"{""coordinates"": [2.369992102356534, 48.85528523971379], ""type"": ""Point""}";48.85528523971379, 2.369992102356534
da-00500;77 BOULEVARD BRUNE;75014;ENPLACE;649527.17;6858690.94;DIDOT - PORTE DE VANVES;"{""coordinates"": [2.3125042838989858, 48.82630075820499], ""type"": ""Point""}";48.82630075820499, 2.3125042838989858
da-00559;22B RUE BROCHANT;75017;ENPLACE;650054.66;6865716.15;BATIGNOLLES;"{""coordinates"": [2.3188635148637458, 48.889518607274475], ""type"": ""Point""}";48.889518607274475, 2.3188635148637458
DA-00218;190 AVENUE DE VERSAILLES;75016;ENPLACE;645784.95;6860164.38;AUTEUIL SUD;"{""coordinates"": [2.2613461687814085, 48.83924754689911], ""type"": ""Point""}";48.83924754689911, 2.2613461687814085
da-00533;58 BOULEVARD SAINT GERMAIN;75005;ENPLACE;652226.11;6861290.53;SORBONNE;"{""coordinates"": [2.348973237924009, 48.84988473641065], ""type"": ""Point""}";48.84988473641065, 2.348973237924009
DA-00128;1V BOULEVARD AUGUSTE BLANQUI;75013;ENPLACE;652628.47;6859197.17;BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT;"{""coordinates"": [2.354689121427518, 48.831088754345124], ""type"": ""Point""}";48.831088754345124, 2.354689121427518
DA-00193;96 BOULEVARD VINCENT AURIOL;75013;ENPLACE;653288.81;6859457.75;SALPETRIERE - AUSTERLITZ;"{""coordinates"": [2.3636554628149313, 48.83348034803693], ""type"": ""Point""}";48.83348034803693, 2.3636554628149313
da-00406;1 RUE VIDAL DE LA BLACHE;75020;ENPLACE;656662.27;6863400.68;GAMBETTA;"{""coordinates"": [2.409208339556463, 48.86917478411411], ""type"": ""Point""}";48.86917478411411, 2.409208339556463
DA-00199;364 RUE LECOURBE;75015;ENPLACE;647277.49;6859820.24;VAUGIRARD - PARC DES EXPOSITIONS;"{""coordinates"": [2.2817229225155895, 48.83627660440796], ""type"": ""Point""}";48.83627660440796, 2.2817229225155895
da-00448;9 RUE CADET;75009;ENPLACE;651806.33;6864081.39;FAUBOURG MONTMARTRE;"{""coordinates"": [2.3429365506212028, 48.874951248984], ""type"": ""Point""}";48.874951248984, 2.3429365506212028
da-00731;55 RUE DE ROMAINVILLE;75019;ENPLACE;656207.9;6864324.83;PORTE DES LILAS;"{""coordinates"": [2.4029191932895237, 48.87745482911424], ""type"": ""Point""}";48.87745482911424, 2.4029191932895237
da-00735;2 AVENUE SECRETAN;75019;ENPLACE;653849.09;6864873.5;SECRETAN;"{""coordinates"": [2.370699816494426, 48.88222408728834], ""type"": ""Point""}";48.88222408728834, 2.370699816494426
da-00816;18 AVENUE JOSEPH BEDIER;75013;ENPLACE;653931.32;6858021.34;MASSENA - JEANNE D'ARC;"{""coordinates"": [2.3725635170887487, 48.82060875381862], ""type"": ""Point""}";48.82060875381862, 2.3725635170887487
da-00837;59 RUE NOTRE DAME DES CHAMPS;75006;ENPLACE;650889.85;6860634.6;NOTRE - DAME DES CHAMPS;"{""coordinates"": [2.330840208800182, 48.8438855203699], ""type"": ""Point""}";48.8438855203699, 2.330840208800182
da-00557;234 RUE DE CRIMEE;75019;ENPLACE;654053.45;6866184.98;PONT DE FLANDRE;"{""coordinates"": [2.3733444088840114, 48.89403240533299], ""type"": ""Point""}";48.89403240533299, 2.3733444088840114
da-00666;20 RUE DE LA FEDERATION;75015;ENPLACE;647994.88;6861846.18;DUPLEIX - LA MOTTE PICQUET;"{""coordinates"": [2.291248166855213, 48.854554014263115], ""type"": ""Point""}";48.854554014263115, 2.291248166855213
da-00563;35 RUE ALAIN CHARTIER;75015;ENPLACE;648365.27;6859945.78;SAINT - LAMBERT;"{""coordinates"": [2.2965264542487454, 48.83749358607046], ""type"": ""Point""}";48.83749358607046, 2.2965264542487454
da-00736;57 RUE DE TANGER;75019;ENPLACE;653878.81;6865644.53;FLANDRE - AUBERVILLIERS;"{""coordinates"": [2.371021365536903, 48.88915984653757], ""type"": ""Point""}";48.88915984653757, 2.371021365536903
da-00670;38 RUE DES PERCHAMPS;75016;ENPLACE;646295.33;6861272.24;AUTEUIL NORD;"{""coordinates"": [2.268159598006409, 48.849253239330295], ""type"": ""Point""}";48.849253239330295, 2.268159598006409
da-00348;3 RUE DU CAPITAINE FERBER;75020;ENPLACE;656344.46;6862928.79;GAMBETTA;"{""coordinates"": [2.404924506696053, 48.864909714621156], ""type"": ""Point""}";48.864909714621156, 2.404924506696053
da-00346;73 RUE DE LA REUNION;75020;ENPLACE;656041.98;6861947.59;REUNION - PERE LACHAISE;"{""coordinates"": [2.4009030292676536, 48.85606529011012], ""type"": ""Point""}";48.85606529011012, 2.4009030292676536
da-00593;14B RUE CLAVEL;75019;ENPLACE;654830.14;6864101.28;PLATEAU;"{""coordinates"": [2.3841587047772697, 48.875349298228805], ""type"": ""Point""}";48.875349298228805, 2.3841587047772697
DA-00186;35 RUE ALIBERT;75010;ENPLACE;653746.74;6863749.58;FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS;"{""coordinates"": [2.369426693920264, 48.87210963280784], ""type"": ""Point""}";48.87210963280784, 2.369426693920264
da-00386;44 RUE DU TELEGRAPHE;75020;ENPLACE;655926.7;6864102.79;TELEGRAPHE - PELLEPORT - SAINT-FARGEAU;"{""coordinates"": [2.3991084259784534, 48.87543883905121], ""type"": ""Point""}";48.87543883905121, 2.3991084259784534
DA-00197;1V PLACE CHARLES VALLIN;75015;ENPLACE;648808.9;6859726.69;ALLERAY - PROCESSION;"{""coordinates"": [2.302596504309066, 48.8355586827991], ""type"": ""Point""}";48.8355586827991, 2.302596504309066
da-00438;2T RUE LOBINEAU;75006;ENPLACE;651323.63;6861518.2;ODEON;"{""coordinates"": [2.336649312594917, 48.85186462292294], ""type"": ""Point""}";48.85186462292294, 2.336649312594917
da-00611;190 AVENUE DE VERSAILLES;75016;ENPLACE;645785.88;6860167.77;AUTEUIL SUD;"{""coordinates"": [2.2613584799133353, 48.83927814408474], ""type"": ""Point""}";48.83927814408474, 2.2613584799133353
da-00464;1Z RUE BARON LE ROY;75012;ENPLACE;654977.07;6859709.32;BERCY;"{""coordinates"": [2.3866270414130355, 48.835862962460794], ""type"": ""Point""}";48.835862962460794, 2.3866270414130355
da-00445;1M PLACE DE LA MADELEINE;75008;ENPLACE;650420.65;6863570.65;ELYSEES - MADELEINE;"{""coordinates"": [2.3241049835531613, 48.87025308525655], ""type"": ""Point""}";48.87025308525655, 2.3241049835531613
da-00449;9 RUE CADET;75009;ENPLACE;651804.61;6864078.74;FAUBOURG MONTMARTRE;"{""coordinates"": [2.3429134044415716, 48.87492732727073], ""type"": ""Point""}";48.87492732727073, 2.3429134044415716
da-00459;99 BOULEVARD RICHARD LENOIR;75011;ENPLACE;653844.02;6862840.83;REPUBLIQUE - SAINT-AMBROISE;"{""coordinates"": [2.370851536120041, 48.86394436396054], ""type"": ""Point""}";48.86394436396054, 2.370851536120041
da-00444;78 BOULEVARD RASPAIL;75006;ENPLACE;650670.87;6861105.39;SAINT - PLACIDE;"{""coordinates"": [2.327801992291129, 48.84810261301707], ""type"": ""Point""}";48.84810261301707, 2.327801992291129
da-00474;197 AVENUE DAUMESNIL;75012;ENPLACE;655559.48;6860161.21;JARDIN DE REUILLY;"{""coordinates"": [2.394514035093588, 48.839967220028804], ""type"": ""Point""}";48.839967220028804, 2.394514035093588
da-00511;364 RUE LECOURBE;75015;ENPLACE;647276.34;6859821.5;VAUGIRARD - PARC DES EXPOSITIONS;"{""coordinates"": [2.28170699255931, 48.8362878237776], ""type"": ""Point""}";48.8362878237776, 2.28170699255931
da-00524;49 RUE DU SIMPLON;75018;ENPLACE;652169.64;6866248.21;AMIRAUX - SIMPLON - POISSONNIERS;"{""coordinates"": [2.3476455413972475, 48.894463806613615], ""type"": ""Point""}";48.894463806613615, 2.3476455413972475
da-00743;55 RUE SARRETTE;75014;ENPLACE;650582.6;6858547.55;JEAN MOULIN - PORTE D'ORLEANS;"{""coordinates"": [2.3268963009177632, 48.82509305025053], ""type"": ""Point""}";48.82509305025053, 2.3268963009177632
da-00749;2Z PLACE DE LA GARENNE;75014;ENPLACE;650086.39;6859506.48;PERNETY;"{""coordinates"": [2.320025406107152, 48.833678583564115], ""type"": ""Point""}";48.833678583564115, 2.320025406107152
da-00779;13 RUE DU FAUCONNIER;75004;ENPLACE;653021.58;6861750.71;SAINT - GERVAIS;"{""coordinates"": [2.3597619404407646, 48.854081593461636], ""type"": ""Point""}";48.854081593461636, 2.3597619404407646
da-00780;2B RUE DE LA JUSSIENNE;75002;ENPLACE;651891.29;6863001.39;MONTORGUEIL - SAINT-DENIS;"{""coordinates"": [2.344217077321138, 48.865245407490775], ""type"": ""Point""}";48.865245407490775, 2.344217077321138
da-00585;64 RUE D ORSEL;75018;ENPLACE;651591.68;6865047.31;MONTMARTRE;"{""coordinates"": [2.3399000422011667, 48.8836214330646], ""type"": ""Point""}";48.8836214330646, 2.3399000422011667
da-00730;26 RUE DU RHIN;75019;ENPLACE;654665.37;6865035.03;MANIN - JAURES;"{""coordinates"": [2.381812671128573, 48.88373474209693], ""type"": ""Point""}";48.88373474209693, 2.381812671128573
da-00465;256B AVENUE DAUMESNIL;75012;ENPLACE;656215.37;6859780.28;BEL - AIR SUD;"{""coordinates"": [2.403489070251466, 48.83658638365992], ""type"": ""Point""}";48.83658638365992, 2.403489070251466
da-00805;25 RUE DE CLIGNANCOURT;75018;ENPLACE;652129.45;6865231.96;MONTMARTRE;"{""coordinates"": [2.347211955939733, 48.88532211697022], ""type"": ""Point""}";48.88532211697022, 2.347211955939733
da-00813;4 PLACE CHARLES DULLIN;75018;ENPLACE;651754.09;6865008.39;MONTMARTRE;"{""coordinates"": [2.342119095843486, 48.88328361957052], ""type"": ""Point""}";48.88328361957052, 2.342119095843486
da-00840;16 RUE DU DOCTEUR LAURENT;75013;ENPLACE;652679.19;6858505.97;ITALIE - PEUPLIERS - RUNGIS;"{""coordinates"": [2.355456861846405, 48.82487642620118], ""type"": ""Point""}";48.82487642620118, 2.355456861846405
